ISIN,NAME,Country
AU000000AJX6,ALEXIUM INTL.GROUP,PAC
AU000000ALK9,ALKANE RESOURCES,PAC
AU000000ALL7,ARISTOCRAT LEISURE,PAC
AU000000ALQ6,ALS,PAC
AU000000ALS2,ALESCO DEAD - DELIST.29/01/13,PAC
AU000000ALU8,ALTIUM,PAC
AU000000ALZ7,AUSTRALAND PR.GP. DEAD - DELIST.03/11/14,PAC
AU000000AMA8,AMA GROUP,PAC
AU000000AMC4,AMCOR CDI,PAC
AU000000AMI1,AURELIA METALS,PAC
AU000000AMM3,AMCOM TELECOM. DEAD - DELIST.09/07/15,PAC
AU000000AMP6,AMP,PAC
AU000000ANG3,AUSTIN ENGINEERING,PAC
AU000000ANI9,AUSTRALIAN INDL.REIT DEAD - DELIST.03/12/15,PAC
AU000000ANN9,ANSELL,PAC
AU000000ANZ3,AUS.AND NZ.BANKING GP.,PAC
AU000000AOE6,ARROW ENERGY DEAD - DELIST.25/08/10,PAC
AU000000AOG1,AVEO GROUP STAPLED UNITS DEAD - DELIST.02/12/19,PAC
AU000000APA1,APA GROUP,PAC
AU000000APE3,EAGERS AUTOMOTIVE,PAC
AU000000API4,AUSTRALIAN PHARM.INDS.,PAC
AU000000APO2,APN OUTDOOR GROUP DEAD - DELIST.01/11/18,PAC
AU000000APT1,AFTERPAY,PAC
AU000000APX3,APPEN,PAC
AU000000APZ8,ASPEN GROUP REIT STAPLED UNITS,PAC
AU000000AQA9,AQUILA RESOURCES DEAD - DELIST.29/07/14,PAC
AU000000AQZ6,ALLIANCE AVIATION SVS.,PAC
AU000000ARB5,ARB,PAC
AU000000ARF6,ARENA REIT STAPLED UNITS,PAC
AU000000ARI0,ACN 004 410 833 DEAD - DELIST.08/04/19,PAC
AU000000ASB3,AUSTAL,PAC
AU000000ASG2,AUTOSPORTS GROUP,PAC
AU000000ASH0,ASHLEY SERVICES GROUP,PAC
AU000000AST5,AUSNET SERVICES,PAC
AU000000ASX7,ASX,PAC
AU000000ASZ2,ASG GROUP DEAD - DELIST.23/12/16,PAC
AU000000AUB9,AUB GROUP,PAC
AU000000AUN4,AUSTAR UTD.COMMS. (OTC) DEAD - MERGER,PAC
AU000000AUQ7,ALARA RESOURCES,PAC
AU000000AUT1,AURORA OIL & GAS DEAD - DELIST.12/06/14,PAC
AU000000AUW5,AUSTRALIAN WEALTH MAN. DEAD - DELIST.15/05/09,PAC
AU000000AVH4,AVITA MEDICAL CDI,EUR
AU000000AVJ0,AVJENNINGS,PAC
AU000000AVN2,AVENTUS GROUP STAPLED UNITS,PAC
AU000000AWB5,AWB DEAD - DELIST.10/12/10,PAC
AU000000AWC3,ALUMINA,PAC
AU000000AWE9,AWE DEAD - DELIST.08/05/18,PAC
AU000000AX19,ACCENT GROUP,PAC
AU000000AXA5,AXA ASIA PACIFIC HDG. DEAD - DELIST.31/03/11,PAC
AU000000AYS5,AMAYSIM AUSTRALIA DEAD - DELIST.06/04/21,PAC
AU000000AZJ1,AURIZON HOLDINGS,PAC
AU000000BAL8,BELLAMYS AUSTRALIA DEAD - DELIST.24/12/19,PAC
AU000000BAP9,BAPCOR,PAC
AU000000BBG6,BILLABONG INTERNATIONAL DEAD - DELIST.26/04/18,PAC
AU000000BBN2,BABY BUNTING GROUP,PAC
AU000000BCI0,BCI MINERALS,PAC
AU000000BDR9,BEADELL RESOURCES DEAD - DELIST.07/03/19,PAC
AU000000BEN6,BENDIGO & ADELAIDE BANK,PAC
AU000000BFC6,BESTON GLOBAL FOOD,PAC
AU000000BGA8,BEGA CHEESE,PAC
AU000000BHP4,BHP GROUP,EUR
AU000000BIN7,BINGO INDUSTRIES,PAC
AU000000BKL7,BLACKMORES,PAC
AU000000BKN3,BRADKEN DEAD - DELIST.17/05/17,PAC
AU000000BKW4,BRICKWORKS,PAC
AU000000BLA8,BLUE SKY ALT.INVESTMENT DEAD - DELIST.31/08/20,PAC
AU000000BLD2,BORAL,PAC
AU000000BLX0,BEACON LIGHTING GROUP,PAC
AU000000BLY8,BOART LONGYEAR,PAC
AU000000BNB2,BABCOCK & BROWN DEAD - DELIST.18/06/09,PAC
AU000000BND8,BANDANNA ENERGY DEAD - DELIST.30/08/16,PAC
AU000000BNO5,BIONOMICS,PAC
AU000000BOQ8,BANK OF QLND.,PAC
AU000000BOW6,BOW ENERGY (OTC) DEAD - DELIST.25/06/13,PAC
AU000000BPT9,BEACH ENERGY,PAC
AU000000BRG2,BREVILLE GROUP,PAC
AU000000BRS7,BROADSPECTRUM DEAD - DELIST.28/06/16,PAC
AU000000BRU3,BURU ENERGY,PAC
AU000000BSL0,BLUESCOPE STEEL,PAC
AU000000BTH6,BIGTINCAN HOLDINGS,PAC
AU000000BUB7,BUBS AUSTRALIA,PAC
AU000000BVS9,BRAVURA SOLUTIONS,PAC
AU000000BWP3,BWP TRUST,PAC
AU000000BWX7,BWX,PAC
AU000000BXB1,BRAMBLES,PAC
AU000000CAJ0,CAPITOL HEALTH,PAC
AU000000CAN2,CANN GROUP,PAC
AU000000CAR3,CARSALES.COM,PAC
AU000000CAT9,CATAPULT GROUP INTL.,PAC
AU000000CBA7,COMMONWEALTH BK.OF AUS.,PAC
AU000000CCL2,COCA-COLA AMATIL,PAC
AU000000CCP3,CREDIT CORP GROUP,PAC
AU000000CCV1,CASH CONVERTERS INTL.,PAC
AU000000CDA3,CODAN,PAC
AU000000CDD7,CARDNO,PAC
AU000000CDU1,CUDECO DEAD - DELIST.03/02/20,PAC
AU000000CEU9,CONNECTEAST GROUP DEAD - DELIST.02/11/11,PAC
AU000000CEY1,CENTENNIAL COAL DEAD - DELIST.30/11/10,PAC
AU000000CGC2,COSTA GROUP HOLDINGS,PAC
AU000000CGF5,CHALLENGER,PAC
AU000000CGL3,CITADEL GROUP DEAD - DELIST.18/12/20,PAC
AU000000CHC0,CHARTER HALL GROUP STAPLED UNITS,PAC
AU000000CHN7,CHALICE MINING,PAC
AU000000CIA2,CHAMPION IRON,PAC
AU000000CIM7,CIMIC GROUP,PAC
AU000000CIP0,CENTURIA INDUSTRIAL,PAC
AU000000CKA8,COKAL,PAC
AU000000CKF7,COLLINS FOOD,PAC
AU000000CL11,CLASS,PAC
AU000000CLH1,COLLECTION HOUSE,PAC
AU000000CLQ2,CLEAN TEQ HOLDINGS,PAC
AU000000CLV2,CLOVER,PAC
AU000000CLW0,CHARTER HALL LONG WALE REIT STAPLED UNITS,PAC
AU000000CMJ5,CONSOLIDATED MEDIA HDG. DEAD - DELIST.20/11/12,PAC
AU000000CMM9,CAPRICORN METALS DEFERRED,PAC
AU000000CMW8,CROMWELL PROPERTY GROUP STAPLED UNITS,PAC
AU000000CNI5,CENTURIA CAPITAL STAPLED UNITS,PAC
AU000000CNX4,CARBON ENERGY DEAD - DELIST.29/08/19,PAC
AU000000COE2,COOPER ENERGY,PAC
AU000000COH5,COCHLEAR,PAC
AU000000CPA7,COMMONWEALTH PR. (OTC),PAC
AU000000CPU5,COMPUTERSHARE,PAC
AU000000CQO6,CHARTER HALL OFFICE REIT DEAD - DELIST.01/05/12,PAC
AU000000CQR9,CHARTER HALL RETAIL REIT,PAC
AU000000CRG0,CRANE GROUP DEAD - DELIST.06/05/11,PAC
AU000000CSL8,CSL,PAC
AU000000CSR5,CSR,PAC
AU000000CSV7,CSG DEAD - DELIST.20/02/20,PAC
AU000000CTD3,CORPORATE TRAVEL MAN.,PAC
AU000000CUV3,CLINUVEL PHARMACEUTICALS,PAC
AU000000CVN8,CARNARVON PETROLEUM,PAC
AU000000CVO6,COVER MORE GROUP DEAD - DELIST.18/04/17,PAC
AU000000CWN6,CROWN RESORTS,PAC
AU000000CWP1,CEDAR WOODS PROPERTIES,PAC
AU000000CWY3,CLEANAWAY WASTE MANAGEMENT,PAC
AU000000CXP9,CORPORATE EXPRESS AUS. DEAD - DELIST.08/09/10,PAC
AU000000CYG6,COVENTRY GROUP,PAC
AU000000CZZ3,CAPILANO HONEY DEAD - DELIST.10/12/18,PAC
AU000000DCG0,DECMIL GROUP,PAC
AU000000DCN6,DACIAN GOLD,PAC
AU000000DDR5,DICKER DATA,PAC
AU000000DDT1,DATADOT TECHNOLOGY,PAC
AU000000DEG6,DE GREY MINING,PAC
AU000000DHG9,DOMAIN HOLDINGS AUSTRALIA,PAC
AU000000DJS0,DAVID JONES DEAD - DELIST.06/08/14,PAC
AU000000DLS6,DRILLSEARCH ENERGY DEAD - DELIST.02/03/16,PAC
AU000000DLX6,DULUXGROUP DEAD - DELIST.22/08/19,PAC
AU000000DML9,DISCOVERY METALS DEAD - DELIST.11/05/18,PAC
AU000000DMP0,DOMINO'S PIZZA ENTS.,PAC
AU000000DNA0,DONACO INTERNATIONAL,PAC
AU000000DOM3,DOMINION MINING DEAD - DELIST.25/02/11,PAC
AU000000DOW2,DOWNER EDI,PAC
AU000000DRM6,DORAY MINERALS DEAD - DELIST.09/04/19,PAC
AU000000DSH4,DICK SMITH HOLDINGS DEAD - DELIST.30/08/16,PAC
AU000000DTL4,DATA#3,PAC
AU000000DUB3,DUBBER,PAC
AU000000DUE7,DUET GROUP DEAD - DELIST.17/05/17,PAC
AU000000DXS1,DEXUS STAPLED UNITS,PAC
AU000000DYL4,DEEP YELLOW,PAC
AU000000ECX3,ECLIPX GROUP,PAC
AU000000EDE1,EDEN INNOVATIONS,PAC
AU000000EDT9,EDT RETAIL TRUST DEAD - DELIST.05/09/11,PAC
AU000000EHE2,ESTIA HEALTH,PAC
AU000000EHL7,EMECO HOLDINGS,PAC
AU000000ELD6,ELDERS,PAC
AU000000ELO3,ELMO SOFTWARE,PAC
AU000000EML7,EML PAYMENTS,PAC
AU000000ENE0,ENERGY DEVELOPMENTS DEAD - DELIST.23/10/15,PAC
AU000000ENV4,ENVESTRA DEAD - DELIST.17/10/14,PAC
AU000000EOS8,ELECTRO OPTIC SYS.HDG.,PAC
AU000000EPD7,EMPIRED,PAC
AU000000EPW7,ERM POWER DEAD - DELIST.02/12/19,PAC
AU000000EQT1,EQT HOLDINGS,PAC
AU000000ERA9,ENERGY RES.OF AUS.,PAC
AU000000ERC5,EIRCOM HOLDINGS DEAD - DELIST.05/01/10,PAC
AU000000ESG4,EASTERN STAR GAS DEAD - DELIST.21/11/11,PAC
AU000000EVN4,EVOLUTION MINING,PAC
AU000000EVT1,EVENT HOSPLTY.&.ENTM.,PAC
AU000000EWC5,ENERGY WORLD,PAC
AU000000EXL4,ELIXINOL GLOBAL,PAC
AU000000FDM1,FREEDOM OIL AND GAS SUSP - SUSP.08/08/19,PAC
AU000000FGE1,FORGE GROUP DEAD - DELIST.29/08/14,PAC
AU000000FGL6,FOSTER'S GROUP DEAD - DELIST.20/12/11,PAC
AU000000FGX1,FUTURE GENERATION INVESTMENT COMPANY,PAC
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,PAC
AU000000FLX1,FELIX RESOURCES (OTC) DEAD - MERGER.06/01/10,PAC
AU000000FMG4,FORTESCUE METALS GP.,PAC
AU000000FNP3,FREEDOM FOODS GROUP,PAC
AU000000FWD0,FLEETWOOD,PAC
AU000000FXJ5,FAIRFAX MEDIA DEAD - DELIST.10/12/18,PAC
AU000000GBG5,GINDALBIE METALS DEAD - DELIST.25/07/19,PAC
AU000000GBT8,GBST HOLDINGS DEAD - DELIST.08/11/19,PAC
AU000000GCL3,GLOUCESTER COAL DEAD - DELIST.10/07/12,PAC
AU000000GDI7,GDI PROPERTY GROUP STAPLED UNITS,PAC
AU000000GEM7,G8 EDUCATION,PAC
AU000000GFF8,GOODMAN FIELDER DEAD - DELIST.19/03/15,PAC
AU000000GHC1,GENERATION HLTHCR.REIT DEAD - DELIST17/07/17,PAC
AU000000GMA5,GENWORTH MGE.IN.AUS.,PAC
AU000000GMF4,GPT METRO OFFICE UNITS DEAD - DELIST.02/11/16,PAC
AU000000GMG2,GOODMAN GROUP,PAC
AU000000GNC9,GRAINCORP A,PAC
AU000000GNS5,GUNNS (OTC) DEAD - DELIST.04/04/16,PAC
AU000000GOR5,GOLD ROAD RESOURCES,PAC
AU000000GOZ8,GROWTHPOINT PROPS. AUS. REIT STAP.UTS.,PAC
AU000000GPT8,GPT GROUP STAPLED UNITS,PAC
AU000000GSS4,GENETIC SIGNATURES,PAC
AU000000GTN3,GTN,PAC
AU000000GTY0,GATEWAY LIFESTYLE GROUP DEAD - DELIST.26/11/18,PAC
AU000000GUD2,GUD HOLDINGS,PAC
AU000000GUL5,GULLEWA,PAC
AU000000GWA4,GWA GROUP,PAC
AU000000GXL9,GREENCROSS DEAD - DELIST.28/02/19,PAC
AU000000GXY2,GALAXY RESOURCES,PAC
AU000000HDF1,APA SUB GROUP DEAD - DELIST.09/01/13,PAC
AU000000HIL8,HILLS,PAC
AU000000HPI9,HTL.PRINV.STAP.UTS.,PAC
AU000000HSN3,HANSEN TECHNOLOGIES,PAC
AU000000HSO1,HEALTHSCOPE DEAD - DELIST.11/06/19,PAC
AU000000HST0,HASTIE GROUP DEAD - DELIST.29/08/13,PAC
AU000000HT18,HT&E,PAC
AU000000HUB4,HUB24,PAC
AU000000HVN7,HARVEY NORMAN HOLDINGS,PAC
AU000000HZN8,HORIZON OIL,PAC
AU000000IAG3,INSURANCE AUS.GROUP,PAC
AU000000IDL7,INDUSTREA DEAD - DELIST.03/12/12,PAC
AU000000IDT0,IDT AUSTRALIA,PAC
AU000000IDX2,INTEGRAL DIAGNOSTICS,PAC
AU000000IEC4,INTRA ENERGY,PAC
AU000000IEL5,IDP EDUCATION,PAC
AU000000IFL2,IOOF HOLDINGS,PAC
AU000000IFM0,INFOMEDIA,PAC
AU000000IFN8,INFIGEN ENERGY STAPLED UNITS,PAC
AU000000IGL0,IVE GROUP,PAC
AU000000IGO4,IGO,PAC
AU000000IGR7,INTEGRA MINING DEAD - DELIST.18/01/13,PAC
AU000000IIF8,ING INDL.FUND DEAD - DELIST.01/04/11,PAC
AU000000IIN2,IINET DEAD - DELIST.11/09/15,PAC
AU000000ILU1,ILUKA RESOURCES,PAC
AU000000IMD5,IMDEX,PAC
AU000000INA9,INGENIA COMMUNITIES GROUP STAPLED UNITS,PAC
AU000000ING6,INGHAMS GROUP,PAC
AU000000IOF6,INVESTA OFFICE FUND DEAD - DELIST.17/12/18,PAC
AU000000IPD8,IMPEDIMED,PAC
AU000000IPH9,IPH,PAC
AU000000IPL1,INCITEC PIVOT,PAC
AU000000IPP2,IPROPERTY GROUP DEAD - DELIST.17/02/16,EM
AU000000IRE2,IRESS,PAC
AU000000IRI3,INTEGRATED RESEARCH,PAC
AU000000ISD2,ISENTIA GROUP,PAC
AU000000ISF7,ISOFT GROUP DEAD - DELIST.03/08/11,PAC
AU000000ISU6,ISELECT,PAC
AU000000ISX0,ISIGNTHIS SUSP - SUSP.06/04/21,PAC
AU000000ITO7,INTOLL GROUP DEAD - DELIST.17/12/10,PAC
AU000000IVC8,INVOCARE,PAC
AU000000JAL1,JAMESON RESOURCES,PAC
AU000000JAN7,JANISON EDUCATION GROUP,PAC
AU000000JBH7,JB HI-FI,PAC
AU000000JHC5,JAPARA HEALTHCARE,PAC
AU000000JHX1,JAMES HARDIE INDS.CDI.,PAC
AU000000JIN0,JUMBO INTERACTIVE,PAC
AU000000JLG8,JOHNS LYNG GROUP,PAC
AU000000KAR6,KAROON ENERGY,PAC
AU000000KCN1,KINGSGATE CONSOLIDATED,PAC
AU000000KDR0,KIDMAN RESOURCES DEAD - DELIST.25/09/19,PAC
AU000000KGN2,KOGAN COM,PAC
AU000000KZL6,KAGARA DEAD - DELIST.08/08/14,PAC
AU000000LEP0,ALE PROPERTY GROUP STAPLED UNITS,PAC
AU000000LIC9,LIFESTYLE COMMUNITIES,PAC
AU000000LLC3,LENDLEASE GROUP STAPLED UNITS,PAC
AU000000LNG0,LIQUEFIED NATURAL GAS DEAD - DELIST.01/03/21,PAC
AU000000LNK2,LINK ADM.HDG.,PAC
AU000000LNN6,LION NATHAN DEAD - DELIST.28/10/09,PAC
AU000000LOV7,LOVISA HOLDINGS,PAC
AU000000LVT6,LIVETILES,AMER
AU000000LYC6,LYNAS RARE EARTHS,PAC
AU000000M7T0,MACH7 TECHS.,AMER
AU000000MAH3,MACMAHON HOLDINGS,PAC
AU000000MAQ4,MACQUARIE TELECOM GROUP,PAC
AU000000MBN9,MIRABELA NICKEL DEAD - DELIST.30/08/16,PAC
AU000000MCC0,MACARTHUR COAL DEAD - DELIST.21/12/11,PAC
AU000000MCG1,MACQUARIE COMMS.INFR.GP. DEAD - DELIST.24/07/09,PAC
AU000000MCM9,MC MINING,PAC
AU000000MCP2,MCPHERSON'S,PAC
AU000000MCR8,MINCOR RESOURCES,PAC
AU000000MDL9,MINERAL DEPOSITS DEAD - DELIST.28/08/18,PAC
AU000000MFG4,MAGELLAN FINANCIAL GP.,PAC
AU000000MGR9,MIRVAC GROUP STAPLED UNITS,PAC
AU000000MGX7,MOUNT GIBSON IRON,PAC
AU000000MHJ4,MICHAEL HILL INTL.,PAC
AU000000MIN4,MINERAL RESOURCES,PAC
AU000000MLD9,MACA,PAC
AU000000MLX7,METALS X,PAC
AU000000MML0,MEDUSA MINING,PAC
AU000000MMS5,MCMILLAN SHAKESPEARE,PAC
AU000000MND5,MONADELPHOUS GROUP,PAC
AU000000MNF0,MNF GROUP,PAC
AU000000MNS3,MAGNIS ENERGY TECHNOLOGIES,PAC
AU000000MNY1,MONEY3,PAC
AU000000MOC5,MORTGAGE CHOICE,PAC
AU000000MOE1,MOELIS AUSTRALIA,PAC
AU000000MP15,MEGAPORT,PAC
AU000000MPL3,MEDIBANK PRIVATE,PAC
AU000000MPO7,MOLOPO ENERGY DEAD - DELIST.06/04/21,PAC
AU000000MQG1,MACQUARIE GROUP,PAC
AU000000MRE4,MINARA RESOURCES DEAD - DELIST.26/10/11,PAC
AU000000MRM7,MMA OFFSHORE,PAC
AU000000MSB8,MESOBLAST,PAC
AU000000MTR2,MANTRA GROUP DEAD - DELIST.01/06/18,PAC
AU000000MTS0,METCASH,PAC
AU000000MTU6,M2 GROUP DEAD - DELIST.23/02/16,PAC
AU000000MVF3,MONASH IVF GROUP,PAC
AU000000MVP2,MEDICAL DEVS.INTL.,PAC
AU000000MXI3,MAXITRANS INDS.,PAC
AU000000MYO9,MYOB GROUP DEAD - DELIST.08/05/19,PAC
AU000000MYR2,MYER HOLDINGS,PAC
AU000000MYS0,MYSTATE,PAC
AU000000MYX0,MAYNE PHARMA GROUP,PAC
AU000000NAB4,NATIONAL AUS.BANK,PAC
AU000000NAN9,NANOSONICS,PAC
AU000000NCK1,NICK SCALI,PAC
AU000000NCM7,NEWCREST MINING,PAC
AU000000NEA8,NEARMAP,PAC
AU000000NEC4,NINE ENTERTAINMENT HOLDINGS,PAC
AU000000NGI6,NAVIGATOR GLOBAL INVESTMENTS,PAC
AU000000NHC7,NEW HOPE CORP.,PAC
AU000000NHF0,NIB HOLDINGS,PAC
AU000000NSR2,NATIONAL STORAGE REIT STAPLED UNITS,PAC
AU000000NST8,NORTHERN STAR,PAC
AU000000NTC2,NETCOMM WIRELESS DEAD - DELIST.02/07/19,PAC
AU000000NUF3,NUFARM,PAC
AU000000NVT2,NAVITAS DEAD - DELIST.09/07/19,PAC
AU000000NWH5,NRW HOLDINGS,PAC
AU000000NWL7,NETWEALTH GROUP,PAC
AU000000NWT0,NEWSAT DEAD - DELIST.01/09/15,PAC
AU000000NXS0,NEXUS ENERGY DEAD - DELIST.07/01/15,PAC
AU000000NXT8,NEXTDC,PAC
AU000000OEL3,OTTO ENERGY,PAC
AU000000OFX5,OFX GROUP,PAC
AU000000OML6,OOH!MEDIA,PAC
AU000000OPT2,OPTHEA,PAC
AU000000ORA8,ORORA,PAC
AU000000ORE0,OROCOBRE,PAC
AU000000ORG5,ORIGIN ENERGY (EX BORAL),PAC
AU000000ORI1,ORICA,PAC
AU000000OZL8,OZ MINERALS,PAC
AU000000PAC7,PACIFIC CURRENT GROUP,PAC
AU000000PAN4,PANORAMIC RESOURCES,PAC
AU000000PAR5,PARADIGM BIOPHARMACEUTICALS,PAC
AU000000PBG6,PACIFIC BRANDS DEAD - DELIST.19/07/16,PAC
AU000000PDN8,PALADIN ENERGY,PAC
AU000000PDZ2,PRAIRIE MINING,PAC
AU000000PEP1,PEPPER GROUP DEAD - DELIST.05/12/17,PAC
AU000000PFP8,PROPEL FUNERAL PARTNERS,PAC
AU000000PGH3,PACT GROUP HOLDINGS,PAC
AU000000PIH9,PRIME INFRASTRUCTURE GP. DEAD - DELIST.02/06/11,PAC
AU000000PLA8,PLATINUM AUSTRALIA (OTC) DEAD - DELIST.15/05/17,PAC
AU000000PLG5,PROPERTYLINK GROUP STAPLED UNITS,PAC
AU000000PLS0,PILBARA MINERALS,PAC
AU000000PME8,PRO MEDICUS,PAC
AU000000PMV2,PREMIER INVESTMENT,PAC
AU000000PNA4,PANAUST DEAD - DELIST.12/06/15,PAC
AU000000PNI7,PINNACLE INVESTMENT MAN. GP.,PAC
AU000000PNV0,POLYNOVO,PAC
AU000000PPC5,PEET,PAC
